rank;name;age;height;Actor;Actress;Director;Producer;Writer;titles;aliases
1;Emilia Clarke;31.0;62.0;0;1;0;0;0;Game of Thrones|Terminator Genisys|Me Before You;Milly
2;Alden Ehrenreich;28.0;69.5;1;0;0;0;0;Hail, Caesar!|Beautiful Creatures|Solo: A Star Wars Story;Alden Caleb Ehrenreich
3;Jacob Elordi;;75.0;1;0;0;0;1;The Kissing Booth|Swinging Safari|Pirates of the Caribbean: Dead Men Tell No Tales;
4;Phoebe Waller-Bridge;32.0;69.75;0;1;0;1;1;Fleabag|Solo: A Star Wars Story|Crashing;
5;Morena Baccarin;39.0;67.5;0;1;0;0;0;Deadpool|Serenity|Deadpool 2;
6;Meghan Markle;;67.0;0;1;0;0;0;Remember Me|Horrible Bosses|A Lot Like Love;Meghan Duchess of Sussex
7;Joey King;;64.0;0;1;0;1;0;The Kissing Booth|Independence Day: Resurgence|Fargo;
8;Bryce Dallas Howard;;67.0;0;1;1;0;1;Jurassic World|The Help|Gold;Bryce Howard
9;Zazie Beetz;;;0;1;0;0;0;Atlanta|Applesauce|Finding Her;
10;Josh Brolin;50.0;70.5;1;0;1;1;0;No Country for Old Men|Inherent Vice|Milk;
11;Alicia Vikander;29.0;66.0;0;1;0;1;0;Ex Machina|The Danish Girl|The Man from U.N.C.L.E.;
12;Katherine Langford;;65.5;0;1;0;0;0;Love, Simon|13 Reasons Why|Spontaneous;Kat
13;Alexandra Daddario;32.0;68.0;0;1;0;0;0;Baywatch|Texas Chainsaw 3D|Percy Jackson & the Olympians: The Lightning Thief;Alex Daddario|Daddario|Alexandra Daddorio
14;Natalie Dormer;;65.75;0;1;0;1;1;Game of Thrones|The Hunger Games: Mockingjay - Part 1|The Hunger Games: Mockingjay - Part 2;
15;Ryan Reynolds;41.0;74.0;1;0;0;1;0;Deadpool|X-Men Origins: Wolverine|Buried;Champ Nightengale|Unicorn
16;Brianna Hildebrand;;63.0;0;1;0;1;0;Deadpool|Deadpool 2|Tragedy Girls;
17;Donald Glover;34.0;69.0;1;0;0;0;1;Atlanta|Solo: A Star Wars Story|The Martian;Derrick Comedy|Childish Gambino|Donald Glover II
18;Richard Madden;31.0;69.75;1;0;0;0;0;Game of Thrones|The Take|Cinderella;
19;Tom Holland;22.0;68.0;1;0;1;1;0;Spider-Man: Homecoming|The Impossible|Captain America: Civil War;
20;Shailene Woodley;26.0;68.0;0;1;0;1;0;Divergent|The Descendants|The Fault in Our Stars;Shai|Shaileney Beany
21;Maika Monroe;25.0;66.0;0;1;0;0;0;Independence Day: Resurgence|It Follows|The 5th Wave;Maika Buckley
22;Yvonne Strahovski;;69.5;0;1;0;0;0;Dexter|24: Live Another Day|Killer Elite;Yvonne Strechowski|Yvonne Strzechowski|Strahotski
23;Thandie Newton;45.0;63.0;0;1;0;1;0;Crash|Mission: Impossible II|Westworld;
