rank,name,url,age,height,roles,titles,aliases
1,Emilia Clarke,https://pro.imdb.com/name/nm3592338/graph?ref_=nm_mtr,31,5' 2",Actress|Soundtrack,Game of Thrones|Terminator Genisys|Me Before You,Milly
2,Alden Ehrenreich,https://pro.imdb.com/name/nm2403277/graph?ref_=nm_mtr,28,5' 9½",Actor|Soundtrack,Hail, Caesar!|Beautiful Creatures|Solo: A Star Wars Story,Alden Caleb Ehrenreich
3,Jacob Elordi,https://pro.imdb.com/name/nm8624059/graph?ref_=nm_mtr,,6' 3",Actor|Writer,The Kissing Booth|Swinging Safari|Pirates of the Caribbean: Dead Men Tell No Tales,
4,Phoebe Waller-Bridge,https://pro.imdb.com/name/nm3564817/graph?ref_=nm_mtr,32,5' 9¾",Actress|Writer|Producer,Fleabag|Solo: A Star Wars Story|Crashing,
5,Morena Baccarin,https://pro.imdb.com/name/nm1072555/graph?ref_=nm_mtr,39,5' 7½",Actress,Deadpool|Serenity|Deadpool 2,
6,Meghan Markle,https://pro.imdb.com/name/nm1620783/graph?ref_=nm_mtr,,5' 7",Actress,Remember Me|Horrible Bosses|A Lot Like Love,Meghan Duchess of Sussex
7,Joey King,https://pro.imdb.com/name/nm1428821/graph?ref_=nm_mtr,,5' 4",Actress|Producer|Soundtrack,The Kissing Booth|Independence Day: Resurgence|Fargo,
8,Bryce Dallas Howard,https://pro.imdb.com/name/nm0397171/graph?ref_=nm_mtr,,5' 7",Actress|Director|Writer,Jurassic World|The Help|Gold,Bryce Howard
9,Zazie Beetz,https://pro.imdb.com/name/nm5939164/graph?ref_=nm_mtr,,,Actress,Atlanta|Applesauce|Finding Her,
10,Josh Brolin,https://pro.imdb.com/name/nm0000982/graph?ref_=nm_mtr,50,5' 10½",Actor|Producer|Director,No Country for Old Men|Inherent Vice|Milk,
11,Alicia Vikander,https://pro.imdb.com/name/nm2539953/graph?ref_=nm_mtr,29,5' 6",Actress|Producer|Executive,Ex Machina|The Danish Girl|The Man from U.N.C.L.E.,
12,Katherine Langford,https://pro.imdb.com/name/nm7692698/graph?ref_=nm_mtr,,5' 5½",Actress,Love, Simon|13 Reasons Why|Spontaneous,Kat
13,Alexandra Daddario,https://pro.imdb.com/name/nm1275259/graph?ref_=nm_mtr,32,5' 8",Actress|Soundtrack|Composer,Baywatch|Texas Chainsaw 3D|Percy Jackson &amp; the Olympians: The Lightning Thief,Alex Daddario|Daddario|Alexandra Daddorio
14,Natalie Dormer,https://pro.imdb.com/name/nm1754059/graph?ref_=nm_mtr,,5' 5¾",Actress|Writer|Producer,Game of Thrones|The Hunger Games: Mockingjay - Part 1|The Hunger Games: Mockingjay - Part 2,
15,Ryan Reynolds,https://pro.imdb.com/name/nm0005351/graph?ref_=nm_mtr,41,6' 2",Actor|Producer|Soundtrack,Deadpool|X-Men Origins: Wolverine|Buried,Champ Nightengale|Unicorn
16,Brianna Hildebrand,https://pro.imdb.com/name/nm6552202/graph?ref_=nm_mtr,,5' 3",Actress|Producer,Deadpool|Deadpool 2|Tragedy Girls,
17,Donald Glover,https://pro.imdb.com/name/nm2255973/graph?ref_=nm_mtr,34,5' 9",Actor|Soundtrack|Writer,Atlanta|Solo: A Star Wars Story|The Martian,Derrick Comedy|Childish Gambino|Donald Glover II
18,Richard Madden,https://pro.imdb.com/name/nm0534635/graph?ref_=nm_mtr,31,5' 9¾",Actor,Game of Thrones|The Take|Cinderella,
19,Tom Holland,https://pro.imdb.com/name/nm4043618/graph?ref_=nm_mtr,22,5' 8",Actor|Director|Producer,Spider-Man: Homecoming|The Impossible|Captain America: Civil War,
20,Shailene Woodley,https://pro.imdb.com/name/nm0940362/graph?ref_=nm_mtr,26,5' 8",Actress|Producer|Soundtrack,Divergent|The Descendants|The Fault in Our Stars,Shai|Shaileney Beany
21,Maika Monroe,https://pro.imdb.com/name/nm2140860/graph?ref_=nm_mtr,25,5' 6",Actress,Independence Day: Resurgence|It Follows|The 5th Wave,Maika Buckley
22,Yvonne Strahovski,https://pro.imdb.com/name/nm2088803/graph?ref_=nm_mtr,,5' 9½",Actress|Miscellaneous Crew,Dexter|24: Live Another Day|Killer Elite,Yvonne Strechowski|Yvonne Strzechowski|Strahotski
23,Thandie Newton,https://pro.imdb.com/name/nm0628601/graph?ref_=nm_mtr,45,5' 3",Actress|Soundtrack|Producer,Crash|Mission: Impossible II|Westworld,
24,Karen Gillan,https://pro.imdb.com/name/nm2394794/graph?ref_=nm_mtr,30,5' 11",Actress|Director|Writer,Selfie|Guardians of the Galaxy|Not Another Happy Ending,Kaz
25,Paul Bettany,https://pro.imdb.com/name/nm0079273/graph?ref_=nm_mtr,47,6' 3½",Actor|Director|Writer,Master and Commander: The Far Side of the World|A Knight's Tale|Margin Call,
26,Gillian Jacobs,https://pro.imdb.com/name/nm1843026/graph?ref_=nm_mtr,35,5' 4",Actress|Soundtrack|Director,Community|Walk of Shame|The Box,Gill
27,Joonas Suotamo,https://pro.imdb.com/name/nm6934058/graph?ref_=nm_mtr,31,6' 11¼",Actor,Solo: A Star Wars Story|Star Wars: Episode VII - The Force Awakens|Star Wars: The Last Jedi,
28,Ross Butler,https://pro.imdb.com/name/nm5224900/graph?ref_=nm_mtr,28,6' 2½",Actor,13 Reasons Why|Riverdale|K.C. Undercover,
29,Anne Winters,https://pro.imdb.com/name/nm3453476/graph?ref_=nm_mtr,,5' 3",Actress,13 Reasons Why|Mom and Dad|Zac and Mia,Annie|Bananie
30,Erin Kellyman,https://pro.imdb.com/name/nm7210986/graph?ref_=nm_mtr,,,Actress,Solo: A Star Wars Story|Les Misérables|Raised by Wolves,
31,Dylan Minnette,https://pro.imdb.com/name/nm1910255/graph?ref_=nm_mtr,,5' 8",Actor|Soundtrack,Prisoners|Alexander and the Terrible, Horrible, No Good, Very Bad Day|Let Me In,
32,Riley Keough,https://pro.imdb.com/name/nm2142336/graph?ref_=nm_mtr,29,5' 7",Actress|Producer,Mad Max: Fury Road|American Honey|It Comes at Night,Riley
33,Evangeline Lilly,https://pro.imdb.com/name/nm1431940/graph?ref_=nm_mtr,38,5' 6",Actress|Soundtrack,Ant-Man|The Hobbit: The Desolation of Smaug|The Hobbit: The Battle of the Five Armies,Evi|Monkey
34,Tom Hardy,https://pro.imdb.com/name/nm0362766/graph?ref_=nm_mtr,40,5' 9",Actor|Producer|Writer,Inception|The Dark Knight Rises|Locke,Thomas Hardy
35,Zendaya,https://pro.imdb.com/name/nm3918035/graph?ref_=nm_mtr,21,5' 10",Actress|Producer|Sound Department,Spider-Man: Homecoming|The Greatest Showman|K.C. Undercover,Zendaya Coleman|Daya|Z
36,Sofia Boutella,https://pro.imdb.com/name/nm1154749/graph?ref_=nm_mtr,36,5' 5",Actress,Star Trek: Beyond|Kingsman: The Secret Service|The Mummy,
37,Ron Howard,https://pro.imdb.com/name/nm0000165/graph?ref_=nm_mtr,64,5' 9",Actor|Producer|Director,Arrested Development|A Beautiful Mind|Apollo 13,Ronnie Howard|Ronny Howard
38,Tessa Thompson,https://pro.imdb.com/name/nm1935086/graph?ref_=nm_mtr,34,5' 4",Actress|Soundtrack|Producer,Creed|Thor: Ragnarok|Dear White People,
39,Valorie Curry,https://pro.imdb.com/name/nm2038170/graph?ref_=nm_mtr,32,5' 4",Actress|Producer,The Twilight Saga: Breaking Dawn - Part 2|Blair Witch|The Following,
40,Brie Larson,https://pro.imdb.com/name/nm0488953/graph?ref_=nm_mtr,,5' 7",Actress|Soundtrack|Miscellaneous Crew,Room|Short Term 12|Kong: Skull Island,
41,Sarah Shahi,https://pro.imdb.com/name/nm1083404/graph?ref_=nm_mtr,38,5' 3",Actress|Producer,Bullet to the Head|Alias|Old School,Sara Shahi
42,Olivia Munn,https://pro.imdb.com/name/nm1601397/graph?ref_=nm_mtr,,5' 4",Actress|Writer,The Newsroom|X-Men: Apocalypse|The Daily Show,Lisa Munn|The Geek Goddess
43,Evan Rachel Wood,https://pro.imdb.com/name/nm0939697/graph?ref_=nm_mtr,30,5' 7",Actress|Soundtrack|Music Department,Thirteen|Whatever Works|Westworld,Evan Rachael Wood|Evan Wood|Evan Rachel Woods
44,Clint Eastwood,https://pro.imdb.com/name/nm0000142/graph?ref_=nm_mtr,88,6' 4",Actor|Producer|Director,Gran Torino|Million Dollar Baby|Unforgiven,Clint
45,Katja Herbers,https://pro.imdb.com/name/nm1126156/graph?ref_=nm_mtr,,5' 6½",Actress,Manhattan|Westworld|The Leftovers,Katja Mira Herders
46,Jennifer Lawrence,https://pro.imdb.com/name/nm2225369/graph?ref_=nm_mtr,27,5' 9",Actress|Soundtrack|Producer,The Hunger Games|Silver Linings Playbook|American Hustle,Jen|JLaw|Nitro: Nickname at school
47,Jodie Comer,https://pro.imdb.com/name/nm3069650/graph?ref_=nm_mtr,25,,Actress,Rillington Place|Thirteen|Doctor Foster,
48,Margot Robbie,https://pro.imdb.com/name/nm3053338/graph?ref_=nm_mtr,27,5' 6",Actress|Producer|Executive,Suicide Squad|The Wolf of Wall Street|I, Tonya,
49,Tom Cruise,https://pro.imdb.com/name/nm0000129/graph?ref_=nm_mtr,55,5' 7",Actor|Producer|Soundtrack,Top Gun|The Last Samurai|Minority Report,Tomu Kurûzu|TC
50,Rebecca Ferguson,https://pro.imdb.com/name/nm0272581/graph?ref_=nm_mtr,,5' 7",Actress,Mission: Impossible - Rogue Nation|Despite the Falling Snow|Life,
51,Ray Park,https://pro.imdb.com/name/nm0661917/graph?ref_=nm_mtr,43,5' 9",Actor|Stunts|Miscellaneous Crew,Star Wars: Episode I - The Phantom Menace|X-Men|G.I. Joe: The Rise of Cobra,
52,Alia Shawkat,https://pro.imdb.com/name/nm0790057/graph?ref_=nm_mtr,29,5' 5",Actress|Producer|Soundtrack,Arrested Development|The To Do List|Whip It,Rich Aliaändanost|Allie
53,Hannah John-Kamen,https://pro.imdb.com/name/nm4789912/graph?ref_=nm_mtr,,5' 6",Actress|Soundtrack,Ready Player One|Ant-Man and the Wasp|Black Mirror,Hannah John Kamen
54,Jesse Plemons,https://pro.imdb.com/name/nm0687146/graph?ref_=nm_mtr,30,5' 10",Actor|Soundtrack,Battleship|Black Mass|Game Night,Meth Damon
55,Carey Mulligan,https://pro.imdb.com/name/nm1659547/graph?ref_=nm_mtr,33,5' 7",Actress|Soundtrack|Producer,Never Let Me Go|An Education|Shame,
56,Blake Lively,https://pro.imdb.com/name/nm0515116/graph?ref_=nm_mtr,30,5' 10",Actress|Producer|Soundtrack,Gossip Girl|The Age of Adaline|The Shallows,
57,Danielle Harris,https://pro.imdb.com/name/nm0364583/graph?ref_=nm_mtr,41,4' 11",Actress|Director|Producer,Don't Tell Mom the Babysitter's Dead|Halloween 4: The Return of Michael Myers|Halloween II,Danielle Andrea Harris
58,Chris Pratt,https://pro.imdb.com/name/nm0695435/graph?ref_=nm_mtr,38,6' 2",Actor|Soundtrack|Producer,Guardians of the Galaxy|The Lego Movie|Parks and Recreation,Monkeyboy
59,Rachel McAdams,https://pro.imdb.com/name/nm1046097/graph?ref_=nm_mtr,39,5' 4",Actress|Soundtrack,The Notebook|Mean Girls|Red Eye,Rachel Mcadams|Rach
60,Michael B. Jordan,https://pro.imdb.com/name/nm0430107/graph?ref_=nm_mtr,31,5' 11½",Actor|Producer|Director,Fruitvale Station|Creed|Fantastic Four,Michael B Jordan|Michael Jordan
61,Chris Hemsworth,https://pro.imdb.com/name/nm1165110/graph?ref_=nm_mtr,34,6' 3",Actor|Soundtrack,The Avengers|Thor|Thor: Ragnarok,Kip
62,Sam Claflin,https://pro.imdb.com/name/nm3510471/graph?ref_=nm_mtr,31,5' 11",Actor|Producer|Soundtrack,The Hunger Games: Catching Fire|Me Before You|Snow White and the Huntsman,Samuel Claflin|Claf
63,Izabela Vidovic,https://pro.imdb.com/name/nm4207679/graph?ref_=nm_mtr,17,5' 4",Actress|Producer|Writer,Wonder|Homefront|The Fosters,Bela
64,Justin Prentice,https://pro.imdb.com/name/nm3624428/graph?ref_=nm_mtr,,5' 10½",Actor|Producer,13 Reasons Why|Malibu Country|Awkward.,
65,Elisabeth Moss,https://pro.imdb.com/name/nm0005253/graph?ref_=nm_mtr,35,5' 3",Actress|Producer|Soundtrack,The One I Love|The Handmaid's Tale|Queen of Earth,Elissabeth Moss|Elizabeth Moss|Liz Moss
66,Jennifer Connelly,https://pro.imdb.com/name/nm0000124/graph?ref_=nm_mtr,47,5' 6½",Actress,A Beautiful Mind|Requiem for a Dream|House of Sand and Fog,Jenny C
67,Roseanne Barr,https://pro.imdb.com/name/nm0001683/graph?ref_=nm_mtr,65,5' 4",Producer|Actress|Writer,Roseanne|Freddy's Dead: The Final Nightmare|Look Who's Talking Too,Mrs. Tom Arnold|Roseane Arnold|Roseanne Barr Arnold
68,Miles Heizer,https://pro.imdb.com/name/nm1851028/graph?ref_=nm_mtr,24,5' 10",Actor,Nerve|Rails &amp; Ties|Love, Simon,
69,Anita Briem,https://pro.imdb.com/name/nm1715194/graph?ref_=nm_mtr,,5' 4",Actress,Journey to the Center of the Earth|Dylan Dog: Dead of Night|Elevator,
70,Alexa Davalos,https://pro.imdb.com/name/nm1111968/graph?ref_=nm_mtr,36,5' 8",Actress,Defiance|The Chronicles of Riddick|Clash of the Titans,
71,Michael C. Hall,https://pro.imdb.com/name/nm0355910/graph?ref_=nm_mtr,47,5' 10",Actor|Producer|Soundtrack,Dexter|Gamer|Six Feet Under,Michael Hall
72,Abigail Spencer,https://pro.imdb.com/name/nm0817844/graph?ref_=nm_mtr,,5' 5",Actress|Writer|Producer,Mad Men|Rectify|Oz the Great and Powerful,Abigail Leigh Spencer|Abby
73,Cole Sprouse,https://pro.imdb.com/name/nm0819850/graph?ref_=nm_mtr,25,6' 0",Actor|Soundtrack|Producer,Riverdale|Friends|Big Daddy,The Sprouse Twins|Cole Mitchell Sprouse
74,Julian Dennison,https://pro.imdb.com/name/nm5421877/graph?ref_=nm_mtr,15,5' 3",Actor|Soundtrack,Hunt for the Wilderpeople|Deadpool 2|Shopping,
75,Helena Bonham Carter,https://pro.imdb.com/name/nm0000307/graph?ref_=nm_mtr,52,5' 2",Actress|Soundtrack|Producer,Les Misérables|Sweeney Todd: The Demon Barber of Fleet Street|Fight Club,Helena Bonham-Carter
76,Brandon Flynn,https://pro.imdb.com/name/nm8210730/graph?ref_=nm_mtr,24,5' 11",Actor|Producer,13 Reasons Why|BrainDead|Looks That Kill,
77,Elizabeth Debicki,https://pro.imdb.com/name/nm4456120/graph?ref_=nm_mtr,27,6' 3",Actress,The Great Gatsby|Guardians of the Galaxy Vol. 2|The Man from U.N.C.L.E.,
78,Rami Malek,https://pro.imdb.com/name/nm1785339/graph?ref_=nm_mtr,37,5' 9",Actor|Producer|Soundtrack,Mr. Robot|Short Term 12|Need for Speed,
79,Brooke Shields,https://pro.imdb.com/name/nm0000222/graph?ref_=nm_mtr,53,5' 10½",Actress|Producer|Soundtrack,The Blue Lagoon|Pretty Baby|Suddenly Susan,Brookie
80,Minka Kelly,https://pro.imdb.com/name/nm1310368/graph?ref_=nm_mtr,,5' 5",Actress,500 Days of Summer|The Roommate|Just Go with It,
81,Elizabeth Olsen,https://pro.imdb.com/name/nm0647634/graph?ref_=nm_mtr,29,5' 6",Actress|Producer|Soundtrack,Martha Marcy May Marlene|Captain America: Civil War|Avengers: Infinity War,Lizzie Olsen|Lizzie|Liz
82,Nick Robinson,https://pro.imdb.com/name/nm3538718/graph?ref_=nm_mtr,,6' 2",Actor|Soundtrack,Jurassic World|Everything, Everything|Boardwalk Empire,Nick J. Robinson|Nick
83,Brad Pitt,https://pro.imdb.com/name/nm0000093/graph?ref_=nm_mtr,54,5' 11",Actor|Producer|Soundtrack,Mr. &amp; Mrs. Smith|Moneyball|Twelve Monkeys,Weatherman
84,Sylvia Hoeks,https://pro.imdb.com/name/nm1679778/graph?ref_=nm_mtr,35,5' 9",Actress|Soundtrack,Blade Runner 2049|The Best Offer|Whatever Happens,Sylvia Hoecks|Sylvia Hoek
85,Jesse Williams,https://pro.imdb.com/name/nm0930898/graph?ref_=nm_mtr,,6' 1",Actor|Producer|Director,The Cabin in the Woods|Grey's Anatomy|Brooklyn's Finest,J. Wesley Williams
86,Sarah Wayne Callies,https://pro.imdb.com/name/nm0915637/graph?ref_=nm_mtr,41,5' 8¾",Actress|Director|Writer,Prison Break|Into the Storm|Colony,Sarah Callies
87,Astrid Bergès-Frisbey,https://pro.imdb.com/name/nm2793591/graph?ref_=nm_mtr,32,5' 7½",Actress,King Arthur: Legend of the Sword|I Origins|Pirates of the Caribbean: On Stranger Tides,
88,Benedict Cumberbatch,https://pro.imdb.com/name/nm1212722/graph?ref_=nm_mtr,41,6' 0",Actor|Producer|Soundtrack,The Imitation Game|Star Trek: Into Darkness|August: Osage County,Benedikuto Kanbâbatchi|Ben
89,Gal Gadot,https://pro.imdb.com/name/nm2933757/graph?ref_=nm_mtr,33,5' 10¼",Actress|Producer,Wonder Woman|Batman v Superman: Dawn of Justice|Furious 7,
